id,title,price,sold,condition,assurance,weight,seller,description
23,Buku Pemograman Web Edisi Revisi + CD PRIYANTO HIDAYATULLAH,Rp100.000,Terjual 159 Produk,Baru,Opsional,500gr,Omviral Online Shop,"PEMROGRAMAN WEB (All in One)
HTML | CSS | JavaScript| Power Designer | XAMPP | MySQL | PHP | CodeIgniter | Jquery | AngularJS

BEST SELLER GRAMEDIA 2015 - 2017

Penulis:PRIYANTO HIDAYATULLAH
JAUHARI KHAIRUL KAWISTARA
Penerbit:INFORMATIKA
Tahun Terbit Terbaru: Desember 2016
Berat Buku:0.55Kg.

Buku Pemrograman Web : Studi Kasus Web Sistem Informasi Akademik inicocok untuk Mahasiswa/siswa SMK dalam menyelesaikan tugas mata kuliah Pemrograman Web dan tugas akhir dengan topik web atau sistem informasi. Buku ini juga cocok untuk freelance programmer maupun programmer profesional yang bekerja di perusahaan serta orang awam terhadap dunia pemrograman web karena dijelaskan dari nol secara runut dan terperinci dengan bahasa yang sederhana dan mudah dimengerti.

DAFTAR ISI:

- HTMl
Mengenal HTMl sebagai Bahasa Utama Pemrograman web serta pengenalan HTMl 5
- CSS
Mempelajari CSS Untuk Melayout Web agar rapi dan indah
- Javascript
Mempelajari Javascript untuk meningkatkan interaktivitas web anda
- XAMPP
Mempelajari instalasi fitur dan Konfigurasi XAMPP dengan mudah dan cepat
- Database
Mempelajari Konsep dan cara perancangan
- Power Designer
Membuat ERD dengan Power Designer dan Menjadikan tabel tabel dalam MYSQL
- MySQL
Mempelajari MySQL dengan PHP My Admin Serta script- Script (SELECT,INSERT,UPDATE,DELETE,TRIGGER,StORED PROCEDURE)
- PHP
Mempelajari PHP dari nol sebagai bahasa yang mudah di pelajari untuk membuat sebuag web dinamis
- CODEIGNITER
Mempelajari CODEIGNITER sebagai Framework paling terkenal untuk membangun web dinamis berbasis PHP
- STUDI KASUS WEB AKADEMIK
Membuat web akademik dengan frontend dan Backend-nya menggunakan codeigniter
- jQuery
Membuat menu menarik dengan cepat menggunakan jQuery
- Angular JS
Meningkatkan Interaktivitas web dengan AngularJ"
24,TERMURAH ORIGINAL Buku PEMROGRAMAN BERORIENTASI OBJEK MENGGUNAKAN JAVA,Rp55.100,Terjual 103 Produk,Baru,Opsional,350gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

Bahasan Meliputi :

*Halo Java
*Struktur Kontrol,Method, dan Struktur Data Sederhana
*Pemrograman Berorientasi Objek
*Implementasi Pemrograman Berorientasi Objek
*Generic Programming dan Collection
*Relasi Pada Diagram Kelas dan Penerapannya
*Exception dan Error Handling
*Concurrent Programming
*Ekspresi Lambda
*GUI Menggunakan JAVAFX"
25,ORIGINAL Buku Machine Learning Tingkat Dasar dan Lanjut - Suyanto,Rp102.400,Terjual 107 Produk,Baru,Opsional,540gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

Pengarang : Suyanto
Penerbit : Informatika
Tahun : 2018
Tebal : 466 Halaman

Pembahasan Buku Meliputi :
- Regresi
- Decision Tree Learning
- Bayesian Learning
- Artifician Neural Nenwork
- Support Vector Machine
- Instance - Based Learning
- Nature - Inspired Learning
- Unsupervised Learning
- Reinforcement Learning
- Ebsmble Learning
- Dep Learning
- Ukuran Performansi
- Teknik Validasi Model
- Himpunan Data
- Aplikasi Machine Learning

Buku ini memberi anda gambaran holistik dan simpel mengenai konsep dasar machine learning, teknik-teknik dan metode-metode tingkat dasar dan tingkat lanjut, serta aplikasinya dalam berbagai bidang terkini. Pembahasan dimulai dari konsep dasar paling sederhana hingga yg kompleks dengan gradasi yg lembut. Setiap teknik dan metode dibahas dari ide dasar, motivasi, visualisasi, formulasi matematis,hingga contoh aplikasinya. Pada setiap teknik learning dibahas sejumlah metode beserta variansinya. Selain itu, buku ini akan memandu anda memahami beragam masalah, dari yg simpel hingga yg rumit, dengan berbagai karakteristik berbeda. Dengan demikian, anda akan terlatih untuk memahami masalah secara benar dan mampu mendesain sistem berbasis machine learning yg akurat untuk masalah yg anda hadapi."
26,Buku Membuat Aplikasi Android dengan Android Studio dan Kotlin,Rp149.000,Terjual 56 Produk,Baru,Opsional,210gr,Buku ID,"Panduan Praktis Membuat Aplikasi Android Dengan Android Studio dan Kotlin - Versi Terbaru
Buku yang sudah di update + Lebih tebal + Sourcede dan Lebih besar dengan Ukuran 18x25

Buku ini sangat cocok bagi Anda yang ingin belajar langsung membuat aplikasi android dengan menggunakan android studio dari NOL. Sebab pada buku ini Anda dipandu mulai dari proses pengenalan tools Android Studio dan bahasa pemprograman yang lebih mudah dipahami karena menggunakan bahasa pemprograman kotlin yang kini menjadi first class language (bahasa kelas utama) dalam membuat aplikasi android sejak diresmikan oleh Google I/O pada Mei 2017.

Pada buku ini Anda juga akan dipandu dalam proses instalasi tools JDK dan Android Studio serta langkah-langkah praktik membuat langsung tiga aplikasi, diantaranya
- Aplikasi Pariwisata
- Aplikasi Game dan edukasi pembelajaran, dan
- Aplikasi portal berita yang langsung terkoneksi dengan database dengan menggunakan halaman web service."
27,TERMURAH Buku Analisis Perancangan Sistem Berorientasi Objek dngan UML,Rp55.100,Terjual 61 Produk,Baru,Opsional,320gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

Buku Analisis Perancangan Sistem Berorientasi Objek dengan UML (Unified Modeling Languange)
Pengarang : Munawar
Penerbit : Informatika
Tahun : 2018
Tebal : 268 Halaman
ISBN : 978-602-6232-77-9

Buku ini merupakan panduan untuk memahami bagaimana melakukan analisis dan perancangan software yang
berorientasi objek. Sengaja Modeling Language) karena UML tidak lagi hanya dipakai untuk mendeskripsikan sistem software tetapi juga bisa digunakan untuk melakukan otomasi proses bisnis dan bahasa untuk pengembangan yang bebas platform. Hal ini dimungkinkan karena adanya SOA (Service Oriented
Architecture) dan MDA (Model Driven Architecture).

Pembahasan buku ini mencakup:
- Analisis dan perancangan sistem: analisis kebutuhan, perancangan sistem, perancangan manajemen data, implementasi sistem dan proses pengembangan software
-UML 1.x sampai dengan 2.x yang mencakup 13 diagram lengkap dengan filosofinya masing-masing
- Penerapan UML dalam analisis dan perancangan software dalam kasus riil seperti: KRS (Kartu Rencana Studi), belanja Online, galeri VCD serta procurement (sistem pemesanan)

Pembahasan Meliputi :
Pengembangan Software: Pengalaman Praktis
Analisis Kebutuhan
Perancangan Sistem
Implementasi Sistem Dan Software Process
Unified Modelling Language
Bekerja Dengan Class
Skenario Sistem
Logical View
Process View
Development View
Physical View
Studi Kasus KRS (Kartu
Rencana Studi)
Studi Kasus Belanja Online
Studi Kasus Galeri VCD Studi
Kasus Procurement (Sistem Pemesanan)"
28,Buku Rekayasa Perangkat Lunak,Rp47.000,Terjual 33 Produk,Baru,Opsional,300gr,Buku ID,"Jumlah Halaman : 296
Tanggal Terbit : 9 Mar 2013
ISBN : 9786021514054
Bahasa : Indonesia
Penerbit : Informatika
Berat : 0.25 kg
Lebar 16 cm
Panjang : 23 cm

Pada buku ini akan membahas tentang analisis dan desain sistem dengan disertai suatu studi kasus untuk memudahkan dalam pemahaman. Analisis dan desain sistem itu dimulai dengan analisis dan desain basis data, analisis dan desain sistem untuk pemrograman terstruktur dengan menggunakan DFD, dan analisis dan desain sistem untuk pemrograman berorientasi objek dengan menggunakan UML.

Setelah membaca studi kasus tersebut, pembaca diharapkan dapat memahami bagaimana melakukan analisis dan desain sistem untuk pemrograman terstruktur maupun pemrograman berorientasi objek. Untuk menghasilkan analisis dan desain perangkat lunak yang baik, seorang analis seharusnya memahami konsep pemrograman. Tanpa pemahaman konsep pemrograman yang baik, analis tidak mungkin menghasilkan perancangan perangkat lunak yang baik.

Pada buku ini juga dijelaskan mengenai tahapan-tahapan yang harus dilalui dalam rakayasa perangkat lunak serta penjelasan secara umum tentang manajemen proyek perangkat lunak."
29,TERMURAH ORIGINAL Buku Pemrograman Web Dengan NODE.JS dan Javascript,Rp66.900,Terjual 87 Produk,Baru,Opsional,385gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

PEMROGRAMAN WEB DENGAN NODE.JS DAN JAVASCRIPT
Pengarang : Budi Raharjo
Penerbit : Informatika
Tahun : April 2019
Tebal : 292 Halaman
Disertai Bonus CD

Pembahasan :

Pengenalan
Bahasa Javascript ( ECMAScript 6 )
Bekerja Dengan
Untuk Pemrograman WEB
Pembuatan Templete
Dan MariaDB
Dan MongoDB
Session Dan Otentikasi User
Express ( Framework Untuk )

sejak rilis pertamanya pada tahun 2009 , node js banyak digunakan oleh para pengembang web. menyediakan cukup banyak pustakan ( berupa modul) untuk menangani permasalahan permasalahan umum yang berkaitan dengna pemrograman . salah satu modul penting untuk pemrograman web adalah http , yang dapat digunakan untuk membuat HTTP server sendiri. melalui modul ini , kita tidak perlu menggunakan HTTP server dari pihak ketiga seperti apache atau ngink. Buk ini membahas tentang penggunaan modul http dan bberapa modul dasar lain yang perlu di pahami pada saat bekerja dengan . Untuk keperluan akses data, node.,js dapat dipasangkan dengan sistem database relasional mapupun sistem database nosql. buku ini membahas tentang komunikasi antara dan kedua sistem database terebut. anda akan mempelajari bagaimana membangun aplikasi web yang menggunakan mariaDB ( untuk sitem database relasional ) dan mongoDB (untuk sistem database noSQL)"
30,"Buku Konsep dan Implementasi Pemrograman Python, Kasus Big Data",Rp84.000,Terjual 78 Produk,Baru,Opsional,500gr,Buku ID,"Penulis/Pembuat: Rosihan Ari Yuana
ISBN: 978-602-6231-23-9
Tahun Terbit: November 2019
Jumlah Halaman/Durasi: 406

Saat ini Python sedang banyak digandrungi Programmer di seluruh dunia. Untuk itu, buku ini hadir membahas pemrograman Python dari nol, seperti Pengenalan dan Instalasi Python, Dasar-Dasar dan Logika Pemrograman Python (Statement Control, Looping, Function, Mengolah Tipe Data Statis/Dinamis, dan sebagainya), sehingga cocok untuk Programmer pemula dan intermediate.

Untuk melatih logika berpikir dan kemampuan problem solving, dalam buku ini diberikan Ratusan Studi Kasus dan Proyek Latihan yang dipaparkan dimulai dari ide penyelesaian sampai implementasinya pada kasus permasalahan yang dihadapi.

Selain itu, buku ini juga membahas bagaimana kemampuan dan keunggulan Python dalam Data Science dan Big Data Analytics. Disertai studi kasus seperti mencari penjualan terbanyak di suatu negara pada tahun tertentu, mencari produk yang paling menguntungkan & merugikan, mengolah data kriminalitas, menentukan segmentasi konsumen, dan lainnya yang dilengkapi juga dengan sajian grafik.

Berikut beberapa materi yang dibahas didalam buku :
- Struktur dan Logika Pemrograman
- Pengenalan dan Instalasi Python
- Dasar-Dasar Pemrograman Python
- Pemrograman OOP di Python
- Mengolah Data Array dengan NumPy
- Menangani Exception (Error Handling)
- Integrasi Python dengan Database
- Import Data (Excel, Csv, JSON, MySQL)
- Bekerja dengan Datetime
- Big Data Analytics
- Lambda Function
- Membuat Grafik Plot
- Pandas Library (Analisis Data)
- Regex (Regular Expression)
- Manipulasi String
- Mengolah Tipe Data Dinamis
- Operasi File
- Dasar Data Science"
31,Buku Membangun Aplikasi Mobile dengan PWA Progressive Web App,Rp63.000,Terjual 64 Produk,Baru,Opsional,350gr,Omviral Online Shop,"Pernah kah anda melihat icon suatu website / aplikasi web di browser atau smarphone seperti pada gambar diatas? itulah salah satu fitur unggulan PWA 9 prograssive web aplikcation ) yaitu add to home screen (A2HS), dimana website anda dapat ditambahkan dalam bentuk icon di halaman depan browser / smarpone user. beberapa website lokal sudah banyak yang menerapkan PWA seperti kompas, jalan tikus, kumparan , babe, dan masih banyak lagi.

PWA pertama kali diperkenalkan oleh google tahun 2015 sebagai sebuah teknologi web modern untuk membuat website yang dapat berlaku seperti sebuah mobile application. dengan konsep realibility , speed dan user engagement, google berusaha memastikan bahwa PWA dapat memberikan user pengalaman seperti aplikasi native yang cepat dan handal.

Dalam buku ini dibahas mulai dari pengenalan dan dasar dasar pwa, fitur dalam PWA seperti web app manifets, service workers, A2HS , push notification, payment , background sync, touch gesture, geolocation, singgle page application dan lain lain"
32,BESTSELLER Buku Unity Tutorial Game Engine Edisi Revisi,Rp135.000,Terjual 65 Produk,Baru,Opsional,700gr,Toko Buku Komputer BDG,"TOKO BUKU KOMPUTER (TBK)
PENGIRIMAN SETIAP HARI (Termasuk Hari Ahad & Tanggal Merah)

KAKAK BARU PERTAMA KALI BELANJA ONLINE??
Pastikan Kakak belanja di Toko yang terpercaya.

Kenapa orang-orang PUAS membeli di Toko Buku Komputer (TBK)???
1.PENGIRIMAN TIAP HARI (termasuk hari Ahad & tanggal merah). Mohon lihat batas order agar bisa dikirim hari ini.
2.Buku dijamin BARU dan ORIGINAL 100%. Hati hati dengan harga murah! Ada harga, ada kualitas.
3.FAST RESPONSE. Order masuk langsung kami proses, gak pake nanti
4.Packing dijamin RAPI dan AMAN dengan BUBBLE WRAP gratis
5.SIAP PAKAI: buku disampul dulu, dikasih pembatas buku, & stabilo 2 warna (untuk setiap buku)
6.Pelayanan RAMAH, ga pake jutek :)

POKOKNYA PUAS!!!
BIAR BINTANG BICARA.

NB: Selama produk ini tampil, berarti READY. Silakan diORDER Kakak ... :)

Penerbit : Informatika
Tahun Terbit : 2018

Versi 2017.x merupakan siklus terbaru pengembangan game engine Unity yang lebih menitikberatkan pada performa core engine serta dukungan untuk game berbasis XR (eXtended Reality). Selain itu, dukungan fitur terbaru Timeline dan Cinemachine menjadikan Unity tidak hanya mampu membuat game tetapi juga film animasi 3D.

Pembahasan;
Hello World Unity
Data Type
Array & Class
Looping Function
Keyboard Input
Mouse Input
Android Input
Fade In Splash Screen
GUIskin Menu
Sound Option
Find & Rotate
Camera Manipulation
Toggle Material
Clone Ball
Translate Cube
Raycast Cube
Shooting Target
Simple Animation
Jepret Webcam
Go Par ticle!
UI System
Movie Texture
Loading Screen
Vir tual Keyboard
Video Player
XML Parser
UDP Client Server
High Score Table
Timeline Editor
Cinema Chine
Hello Terrain 3D
Day And Night
Hello Terrain 2D
Jungle Illusion
Kiky Si Kancil
Attack On Kancil
Sprite Character
Anima2D
Par ticle Magic
PHP & MySQL
Visual Novel
Augmented Reality
Face Recognition
Unity ADS
Vir tual Reality
Text Mesh Pro
RPG Tilemap
Movie Recording
Cinematic FX"
33,Buku Modul Tutorial Dasar & Source Code Pemrograman MATLAB,Rp192.000,Terjual 444 Produk,Baru,Opsional,510gr,Adi Pamungkas,"Stok Ready!!!
Silakan diorder, siap kami kirim

Harap membaca deskripsi barang sebelum membeli !!

Buku modul tutorial pemrograman matlab (hard file dan soft file berukuran A5 jenis kertas HVS 100 gr lebih tebal dibandingkan kertas HVS biasa 70/80 gr), hard cover dan spiral ring, terbit 111 halaman berisi 5 buah tutorial dengan materi dasar2 pemrograman matlab, pembuatan grafik, pembuatan GUI, pengolahan citra, dan pengenalan pola

+1 buah CD yg berisi lebih dari 100 source code matlab mengenai pengolahan data, pengolahan citra, pengolahan sinyal, pengolahan video, dan data mining antara lain JST, PCA, SVM, Fuzzy, Anfis, Kmeans, FCM, Naive Bayes, dll

daftar lengkap source code serta materi/pembahasan mengenai source code ada pada website kami pemrogramanmatlab(dot)com

Buku modul tutorial dan source code biasa kami gunakan untuk mengajar dalam pelatihan bahasa pemrograman MATLAB

Bonus: 12 video tutorial pemrograman matlab dari mathworks (perusahaan yg memproduksi software matlab) berbahasa inggris

Dan bonus 13 ebook mengenai pengolahan citra, pengenalan pola, neural networks, machine learning, pengolahan sinyal, dll

Sangat cocok dan mudah dijadikan sebagai panduan dalam belajar, mengerjakan tugas akhir, skripsi, thesis, maupun disertasi, serta mengerjakan penelitian yang menggunakan bahasa pemrograman MATLAB

Penulis : Adi Pamungkas, S.Si, M.Si"
34,Buku Mudah Belajar Mikrokontroler Arduino - Fajar Wicaksono & Hidaya,Rp80.000,Terjual 57 Produk,Baru,Opsional,459gr,Toko Buku Komputer BDG,"TOKO BUKU KOMPUTER (TBK)
PENGIRIMAN SETIAP HARI (Termasuk Hari Ahad & Tanggal Merah)

KAKAK BARU PERTAMA KALI BELANJA ONLINE??
Pastikan Kakak belanja di Toko yang terpercaya.

Kenapa orang-orang PUAS membeli di Toko Buku Komputer (TBK)???
1.PENGIRIMAN TIAP HARI (termasuk hari Ahad & tanggal merah). Mohon lihat batas order agar bisa dikirim hari ini.
2.Buku dijamin BARU dan ORIGINAL 100%. Hati hati dengan harga murah! Ada harga, ada kualitas.
3.FAST RESPONSE. Order masuk langsung kami proses, gak pake nanti
4.Packing dijamin RAPI dan AMAN dengan BUBBLE WRAP gratis
5.SIAP PAKAI: buku disampul dulu, dikasih pembatas buku, & stabilo 2 warna (untuk setiap buku)
6.Pelayanan RAMAH, ga pake jutek :)

POKOKNYA PUAS!!!
BIAR BINTANG BICARA.

NB: Selama produk ini tampil, berarti READY

Pembaca akan diberikan teori, contoh rangkaian, petunjuk untuk mempraktikan contoh yang diberikan, contoh program dan penjelasan dari program yang dibuat

Pada bagian awal buku ini terdapat 4 bab pendahuluan terkait teori-teori dasar arduino, PHP dan Mysql yang akan digunakan pada bab-bab selanjutnya. Dimulai bab 5 sampai dengan bab terakhir akan diberikan contoh seperti penggunaan I/O, LED, Relay, 7Segment, Keypad, LCD, Motor DC, Motor Servo, Sensor LDR, Sensor Ultrasonik, Sensor PIR, Modul Suara, Modul RFID, Modul Bluetooth, Ethernet Web Server dan Web Clent, penggunaan modul Wifi ESP8266-01 sebagai web server dan web client, Modul GSM, penggunaan modul WiFi NodeMCU ESP8266 sebagai Web Server dan Web Client.

Bahasan Meliputi:
- Arduino
- Pengenalan pemrograman bahasa C Arduino
- Instalasi dan Konfigurasi
- PHP dan Mysql
- input dan Output
- Arduino LED
- Relay
- Seven Segment
- Keypad
- LCD
- Motor DC
- Motor Servo
- Sensor LDR
- Sensor Ultrasoniik
- Sensor PIR
- Modul Suara
- RFID
- Bluetooth
- Arduino Ethernet Web Server
- Arduino Ethernet Web Clent
- Modul WiFi ESP8266-01 dan Nodemcu ESP8266
- Web Server dengan Modul WiFi ESP8266-01
- Web Client dengan Modul WiFi ESP8266-01"
35,Buku Membuat Aplikasi E-Learning dgn PHP-MySQL dan Dreamweaver,Rp115.000,Terjual 7 Produk,Baru,Opsional,450gr,Omviral Online Shop,"Penulis : Bunafit Nugroho
Ukuran : 16 x 23 cm
Tebal : x + 410 hlm
ISBN : 978-602-6948-88-5
Bonus : CD
Tahun : 2017

Deskripsi :
Buku ini akan memandu Anda untuk Membuat Aplikasi E-Learning, Sistem Informasi Pembelajaran berbasis Web dengan PHP-MySQL dan Dreamweaver. Supaya lebih mudah mengikuti panduan, maka Kami menggambarkan setiap langkahnya menggunakan editor Dreamweaver. Pembahasan buku ini mencakup:

Panduan Menginstal PHP dan MySQL (XAMPP)
Merancang dan Membuat Database MySQL
Membuat Halaman Program untuk Administrator Akademik
Membuat Halaman Program untuk Guru
Halaman Program untuk Siswa

Lewat editor Dreamweaver, Anda akan dipandu untuk bisa mendesain form program input data lengkap dengan skrip program simpan datanya ke dalam database MySQL, Anda juga akan dipandu untuk bisa membuat halaman program tampil data yang dilengkapi dengan menu untuk Edit dan Delete. Semuanya akan menggunakan Dreamweaver, setiap langkah akan Kami berikan gambar ilustrasi, sehingga memudahkan Anda yang masih awam yang ingin mengikuti setiap langkahnya.

Source code PROGRAM APLIKASI E-LEARNING yang ada dalam CD Penyerta dapat Anda terapkan untuk proyek Tugas Akhir(TA) dan juga Skripsi bidang Informatika."
36,DataCamp Premium Subscription (2 Months),Rp150.000,Terjual 109 Produk,Baru,Opsional,50gr,Dyhaz,"DataCamp Online Course Premium Access

Premium access untuk mengakses semua materi pada DataCamp (courses, projects, mobile app). Berlaku hingga 21 Januari 2021. Pengaktifan menggunakan sistem invite tim jadi hanya membutuhkan email aktif untuk upgrade ke account premium.

Cara pemesanan
> Masukkan produk ke keranjang lalu checkout.
> Cantumkan email aktif (bisa yang sudah terdaftar atau belum) di catatan.
> Lanjutkan ke pembayaran dengan pilihan yang tersedia.
> Order diproses jika pembayaran terkonfirmasi.

!!!Alamat Pengiriman menggunakan alamat asli, karena bukti pembelian tetap akan dikirim karena harus pakai kurir!!!

DataCamp merupakan platform pembelajaran interaktif untuk mendalami data science. bahasa pemrograman R, Python, SQL & Spark yang dapat diakses dari browser dengan pilihan lebih dari 100 kursus.

==============================================================
Keyword

Akun datacamp murah, Belajar python, kursus big data, Analytics, Database, Data insight, Visualization, Marketing, Decision Making, Data science, Cloud, NoSQL, XML, BI, Business intelligence, data-driven"
37,buku Elektronika Digital dan Sistem Embedded,Rp57.000,Terjual 4 Produk,Baru,Ya,400gr,Jovans Book Store,"Elektronika digital dan teknologi Sistem Embedded merupakan materi yang sngat penting di bidang elektronika dan Teknologi Informasi. Kebutuhan akan mikroprosesor kecepatan tinggi namun dengan ukuran yang kompak, menghasilkan teknologi sistem embedded yang murah dan banyak diterapkan pada dunia industri ataupun hiburan. Buku ini bermaksud untuk memopulerkan teknologi digital dan sistem embedded tersebut sebagai referensi utama bagi para pelajar SMA/SMK, Mahasiswa dan praktisi /peneliti yang ingin mempelajari:

· Dasar rangkaian dan IC Digital dan Op-amp

· Interfacing komputer berbasis port USB

· Sistem Embeddede dengan AVR/Arduino/BS2p dan Raspberry Pi 3

· Contoh robot KRCI, humanoid, kursiroda berbasis EEG dan Pembuat kopi"
38,BUKU APLIKASI ANALISIS MULTIVARIATE DENGAN PROGRAM IBM SPSS 25,Rp155.000,Terjual 18 Produk,Baru,Ya,800gr,Jovans Book Store,"Deskripsi
penerbit universitas diponegoro

buku di jamin original 100%

harga normal 175.000

diskon 10%

silakan di order:)"
39,buku rancang bangun aplikasi android dan web,Rp150.000,Terjual 5 Produk,Baru,Opsional,1000gr,Jovans Book Store,"Penerbit informatika

Buku di jamin original 100%

Harga normal 200.000

Diskon 20%

Beli banyak lebih murah

Silakan di order:)"
40,"Buku PLC, Konsep, Pemrograman dan Aplikasi (Edisi Revisi)",Rp52.500,Terjual 41 Produk,Baru,Opsional,450gr,Buku ID,"Penulis : Agfianto Eko Putra
Dimensi : 16 x 23 cm
Tebal : xii + 244
ISBN : 978-602-6948-78-6
Bonus : CD
Harga : 62.000 (Pulau Jawa)

Buku ini tersusun atas 7 Bab :

Bab 1 membahas dasar-dasar atau konsep dasar PLC (Programmable Logic Controller)

Bab 2 membahas tentang PLC Omron seri SYSMAC atau yang dikenal dengan tipe CPM1A/CPM2A

Bab 3 membahas tentang ZEN Programmable Relay secara garis besar

Bab 4 menjelaskan tentang konsep-konsep pemrograman diagram tangga ditinjau dari PLC Omron Sysmac

Bab 5 menjelaskan perangkat lunak yang digunakan dalampemrograman PLC, baik Syswin v3.4, ZEN Support Software v3.0 (serta simulatornya) dan PLC Simulator v1.0.

Bab 6 dan Bab 7. Membahas Aplikasi untuk masing-masing PLC, Sysmac dan ZEN Programmable Relay"
41,Aplikasi Inventory Stok Barang+ kasir berbasis web-ORI+Source Code,Rp60.000,Terjual 98 Produk,Baru,Ya,100gr,E Software,"Aplikasi Software Inventory Management & Simple Point Of Sale (POS) -

-------------
DEMO
idwares.esy.es
User:admin pass: admin
---------------

Bisa cek stok barang, bisa software kasir sampai cetak struk dengan logo anda
Aplikasi ORI made indonesia ini berbasis Web jadi bisa dibuka di browser dan ga bikin komputer lambat.

bisa di setting supaya bisa dibuka ketika offline (tanpa internet)

Fitur umum:
Bisa memakai nama bisnis anda di halaman login dan setelah login
BIsa membedakan akses pemilik bisnis, admin dan karyawan

Fitur Inventori stok:
-Tambah-Edit-Hapus produk, harga modal, harga jual, menghitung profit
-Tambah-Edit-Hapus Merek/brand, Supplier, kategori barang
-Grafik pengingat stok barang yang menipis, Grafik produk paling laris
-Otomatis update stok bila ada transaksi jual atau beli

Fitur kasir:
-mencatat transaksi penjualan + cetak struk dengan logo anda
-mencatat transaksi pembelian dari supplier
- Mencatat pengeluaran operasional spt gaji, listrik, sewa dll

Fitur buat pemilik bisnis:
-Bisa liat laporan penjualan, pembelian, pengeluaran, profit dan income langsung di web atau di jadikan excel dan pdf.
-Bisa menambah dan menghapus karyawan
-memakai nama dan logo bisnis anda di aplikasi

bisa akses dari komputer, smartphone atau tablet, bisa di instal ke komputer saja jadi tanpa harus ada internet
hanya 1x pembayaran (tidak dijual ulang) Source Code kami berikan jadi bisa di kembangkan sesuai kebutuhan bisnis atau untuk belajar programing. Dikembangkan dengan PHP, CSS, HTML, My SQL Java Script.

Pesan langsung di tokopedia nanti dikirimkan:
DVD berisi:
Source Code + Aplikasi pendukung
-Panduan instalasi dan pemakaian
-Garansi dibantu sampai bisa dan layanan CS
.
Bisa kami emailkan juga namun pesannya tetap di tokopedia ya supaya dapat bukti invoice untuk klaim garansi.
Free Update selama 6 bulan jika ada update dari developer

Semua pertanyaan chat via tokopedia atau diskusi produk

hosting yg sudah dites berjalan: Hostinger dan niagahoster"
